0 0 0
0 -1 0
-1 -1 0
0 -1 0
0 -2 0
0 -1 0
0 -2 0
-1 -2 0
-2 -2 0
-2 -2 -1
-2 -2 0
-2 -2 1
-1 -2 1
-1 -1 1
-1 -1 0
-2 -1 0
-1 -1 0
-1 0 0
-1 1 0
-2 1 0
-1 1 0
0 1 0
1 1 0
2 1 0
2 0 0
1 0 0
1 -1 0
0 -1 0
0 -1 -1
-1 -1 -1
0 -1 -1
1 -1 -1
1 0 -1
1 0 -2
0 0 -2
0 0 -3
1 0 -3
1 0 -2
1 0 -1
1 1 -1
1 1 -2
1 0 -2
0 0 -2
0 0 -3
-1 0 -3
-2 0 -3
-2 0 -2
-2 0 -1
-2 -1 -1
-2 0 -1
-3 0 -1
-3 0 0
-3 0 1
-3 0 0
-3 1 0
-3 1 -1
-4 1 -1
-3 1 -1
-3 0 -1
-4 0 -1
-5 0 -1
-5 -1 -1
-5 0 -1
-5 0 0
-5 0 1
-5 -1 1
-4 -1 1
-3 -1 1
-3 0 1
-3 0 0
-3 -1 0
-3 -1 -1
-3 0 -1
-2 0 -1
-2 1 -1
-2 0 -1
-2 1 -1
-1 1 -1
0 1 -1
0 1 -2
0 0 -2
0 -1 -2
0 -1 -1
0 0 -1
0 0 0
0 0 1
-1 0 1
-1 1 1
-2 1 1
-2 0 1
-2 0 0
-2 0 -1
-2 0 0
-3 0 0
-2 0 0
-3 0 0
-4 0 0
-3 0 0
-3 0 1
-3 -1 1
-3 -1 2
-3 -1 3
-3 -1 4
-3 -2 4
-3 -1 4
-2 -1 4
-2 -2 4
-2 -2 3
-2 -1 3
-2 -1 4
-2 -2 4
-1 -2 4
-1 -2 3
-2 -2 3
-2 -2 4
-2 -3 4
-2 -4 4
-2 -4 3
-2 -5 3
-2 -5 2
-2 -4 2
-2 -4 3
-2 -4 2
-2 -5 2
-1 -5 2
-2 -5 2
-1 -5 2
-1 -5 3
-1 -5 2
-1 -5 3
-1 -5 2
0 -5 2
0 -4 2
0 -3 2
0 -3 1
0 -3 0
0 -3 -1
0 -4 -1
1 -4 -1
0 -4 -1
-1 -4 -1
-1 -3 -1
0 -3 -1
1 -3 -1
1 -2 -1
2 -2 -1
1 -2 -1
1 -3 -1
0 -3 -1
-1 -3 -1
-1 -3 -2
-1 -2 -2
0 -2 -2
-1 -2 -2
-2 -2 -2
-3 -2 -2
-3 -2 -3
-3 -1 -3
-3 0 -3
-3 1 -3
-3 2 -3
-3 2 -2
-3 1 -2
-2 1 -2
-2 2 -2
-2 3 -2
-1 3 -2
-1 3 -1
-1 3 0
0 3 0
0 3 -1
0 4 -1
0 4 -2
0 3 -2
0 4 -2
0 4 -1
0 4 0
-1 4 0
-1 3 0
-1 4 0
-2 4 0
-1 4 0
-1 5 0
-1 5 1
-2 5 1
-3 5 1
-3 4 1
-2 4 1
-1 4 1
-1 4 2
-1 4 1
-2 4 1
-2 4 0
-2 4 -1
-2 5 -1
-2 5 0
-2 4 0
-2 4 1
-2 5 1
-2 4 1
-2 5 1
-2 5 2
-2 5 3
-3 5 3
-2 5 3
-2 4 3
-2 4 2
-3 4 2
-3 4 3
-3 4 2
-3 4 1
-3 4 0
-3 4 -1
-3 5 -1
-4 5 -1
-4 5 0
-4 6 0
-4 7 0
-4 7 -1
-4 7 -2
-4 7 -1
-4 7 0
-4 8 0
-4 8 -1
-5 8 -1
-5 8 0
-5 8 1
-5 8 0
-5 7 0
-5 7 1
-5 7 2
-6 7 2
-6 7 3
-5 7 3
-4 7 3
-4 6 3
-4 5 3
-4 6 3
-5 6 3
-4 6 3
-4 6 4
-4 7 4
-5 7 4
-5 6 4
-5 7 4
-5 7 3
-6 7 3
-7 7 3
-7 8 3
-7 8 4
-7 8 5
-7 8 6
-6 8 6
-6 8 7
-6 8 6
-5 8 6
-5 9 6
-6 9 6
-6 10 6
-6 10 5
-6 10 4
-6 9 4
-6 10 4
-6 9 4
-6 9 5
-6 8 5
-6 7 5
-6 7 6
-5 7 6
-5 6 6
-5 6 5
-5 7 5
-5 7 4
-5 6 4
-5 6 5
-4 6 5
-4 5 5
-4 4 5
-4 3 5
-4 3 4
-4 3 5
-4 3 6
-4 3 5
-4 2 5
-4 2 4
-3 2 4
-3 1 4
-3 1 5
-3 1 4
-3 1 3
-3 1 4
-2 1 4
-3 1 4
-3 1 5
-3 1 4
-3 2 4
-3 1 4
-3 1 3
-2 1 3
-2 1 2
-2 1 1
-3 1 1
-3 0 1
-2 0 1
-2 -1 1
-2 0 1
-2 0 0
-2 -1 0
-2 -1 -1
-2 0 -1
-2 1 -1
-1 1 -1
-1 0 -1
-1 1 -1
-1 0 -1
-1 1 -1
-1 1 -2
-1 1 -1
-1 2 -1
-1 2 0
0 2 0
0 2 1
0 2 2
0 1 2
0 1 3
0 1 4
0 1 3
0 1 4
0 2 4
0 3 4
1 3 4
1 2 4
1 1 4
2 1 4
2 0 4
2 1 4
3 1 4
4 1 4
3 1 4
3 2 4
2 2 4
1 2 4
2 2 4
3 2 4
3 3 4
3 4 4
4 4 4
4 4 3
4 4 2
4 4 1
5 4 1
6 4 1
6 3 1
6 3 0
5 3 0
5 3 -1
5 4 -1
5 4 0
5 5 0
5 6 0
4 6 0
5 6 0
5 6 -1
5 6 0
4 6 0
5 6 0
4 6 0
4 7 0
4 7 -1
4 6 -1
5 6 -1
5 7 -1
5 8 -1
5 8 0
5 8 -1
4 8 -1
5 8 -1
6 8 -1
6 8 -2
7 8 -2
7 7 -2
7 7 -1
8 7 -1
7 7 -1
7 6 -1
8 6 -1
8 5 -1
8 5 -2
9 5 -2
10 5 -2
11 5 -2
11 5 -1
10 5 -1
11 5 -1
10 5 -1
11 5 -1
11 5 0
11 5 -1
12 5 -1
12 5 0
12 6 0
12 6 -1
11 6 -1
11 5 -1
11 4 -1
12 4 -1
12 3 -1
12 2 -1
11 2 -1
11 3 -1
12 3 -1
11 3 -1
11 3 -2
11 3 -1
10 3 -1
10 4 -1
11 4 -1
11 5 -1
12 5 -1
12 5 0
12 5 1
12 5 0
12 4 0
11 4 0
10 4 0
10 3 0
10 3 1
9 3 1
9 3 0
10 3 0
11 3 0
11 3 1
10 3 1
11 3 1
10 3 1
10 3 0
11 3 0
11 2 0
11 1 0
11 0 0
11 0 1
11 1 1
11 2 1
10 2 1
10 1 1
10 1 0
10 1 1
10 1 2
11 1 2
12 1 2
11 1 2
11 1 1
11 1 0
11 2 0
11 2 -1
11 2 0
11 2 -1
10 2 -1
11 2 -1
11 1 -1
11 0 -1
11 1 -1
12 1 -1
12 2 -1
12 1 -1
12 2 -1
12 3 -1
11 3 -1
11 3 0
10 3 0
9 3 0
10 3 0
10 3 1
10 2 1
9 2 1
10 2 1
10 1 1
10 1 2
10 2 2
11 2 2
11 1 2
12 1 2
12 0 2
12 0 3
12 0 2
13 0 2
14 0 2
14 0 1
14 1 1
14 1 2
15 1 2
15 1 3
15 0 3
16 0 3
16 0 2
17 0 2
17 0 3
17 1 3
17 2 3
16 2 3
16 2 2
16 2 3
16 1 3
16 0 3
15 0 3
15 0 4
15 0 3
15 0 2
16 0 2
15 0 2
15 0 1
15 0 2
16 0 2
16 1 2
17 1 2
17 1 3
17 1 4
17 0 4
18 0 4
19 0 4
19 0 5
19 -1 5
19 -1 6
19 -1 5
20 -1 5
20 -1 4
20 -1 5
19 -1 5
19 -1 6
18 -1 6
18 -1 5
18 -1 6
18 0 6
19 0 6
19 -1 6
